"District","District Code","Gender","Count","%"
"Andover School District","=""0010011""","Female","*","*"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",66,5.3
"Ansonia School District","=""0020011""","Male",189,13.6
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",13,0.7
"Avon School District","=""0040011""","Male",41,2.3
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",69,4.6
"Berlin School District","=""0070011""","Male",145,8.8
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male",6,2.2
"Bethel School District","=""0090011""","Female",61,4.2
"Bethel School District","=""0090011""","Male",119,7.7
"Bloomfield School District","=""0110011""","Female",92,8.6
"Bloomfield School District","=""0110011""","Male",184,15.9
"Bolton School District","=""0120011""","Female",7,1.5
"Bolton School District","=""0120011""","Male",24,5.5
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male","N/A","N/A"
"Branford School District","=""0140011""","Female",61,3.5
"Branford School District","=""0140011""","Male",180,10.3
"Bridgeport School District","=""0150011""","Female",1332,13.5
"Bridgeport School District","=""0150011""","Male",2275,21.4
"Bristol School District","=""0170011""","Female",229,5.5
"Bristol School District","=""0170011""","Male",561,12.4
"Brookfield School District","=""0180011""","Female",12,0.8
"Brookfield School District","=""0180011""","Male",50,3.4
"Brooklyn School District","=""0190011""","Female",17,3.6
"Brooklyn School District","=""0190011""","Male",36,7.2
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",6,0.7
"Canton School District","=""0230011""","Male",24,2.6
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*"
"Cheshire School District","=""0250011""","Female",27,1.1
"Cheshire School District","=""0250011""","Male",94,3.8
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",34,3.4
"Clinton School District","=""0270011""","Male",88,8.4
"Colchester School District","=""0280011""","Female",43,2.8
"Colchester School District","=""0280011""","Male",109,6.9
"Colebrook School District","=""0290011""","Female","N/A","N/A"
"Colebrook School District","=""0290011""","Male","*","*"
"Columbia School District","=""0300011""","Female","*","*"
"Columbia School District","=""0300011""","Male","*","*"
"Cornwall School District","=""0310011""","Female","*","*"
"Cornwall School District","=""0310011""","Male","*","*"
"Coventry School District","=""0320011""","Female",61,6.6
"Coventry School District","=""0320011""","Male",130,13.6
"Cromwell School District","=""0330011""","Female",55,5.6
"Cromwell School District","=""0330011""","Male",133,12.6
"Danbury School District","=""0340011""","Female",355,6.8
"Danbury School District","=""0340011""","Male",770,13.9
"Darien School District","=""0350011""","Female",6,0.3
"Darien School District","=""0350011""","Male",52,2.0
"Deep River School District","=""0360011""","Female","*","*"
"Deep River School District","=""0360011""","Male","*","*"
"Derby School District","=""0370011""","Female",59,8.2
"Derby School District","=""0370011""","Male",100,12.8
"Eastford School District","=""0390011""","Female","*","*"
"Eastford School District","=""0390011""","Male","*","*"
"East Granby School District","=""0400011""","Female",13,3.0
"East Granby School District","=""0400011""","Male",23,5.0
"East Haddam School District","=""0410011""","Female",18,2.7
"East Haddam School District","=""0410011""","Male",21,3.0
"East Hampton School District","=""0420011""","Female",17,1.8
"East Hampton School District","=""0420011""","Male",51,5.0
"East Hartford School District","=""0430011""","Female",570,16.4
"East Hartford School District","=""0430011""","Male",989,25.8
"East Haven School District","=""0440011""","Female",155,9.1
"East Haven School District","=""0440011""","Male",260,14.5
"East Lyme School District","=""0450011""","Female",26,1.7
"East Lyme School District","=""0450011""","Male",75,4.8
"Easton School District","=""0460011""","Female","N/A","N/A"
"Easton School District","=""0460011""","Male",12,2.0
"East Windsor School District","=""0470011""","Female",62,9.5
"East Windsor School District","=""0470011""","Male",109,15.8
"Ellington School District","=""0480011""","Female",53,3.9
"Ellington School District","=""0480011""","Male",107,7.7
"Enfield School District","=""0490011""","Female",158,5.5
"Enfield School District","=""0490011""","Male",367,11.9
"Essex School District","=""0500011""","Female","*","*"
"Essex School District","=""0500011""","Male","N/A","N/A"
