"District","District Code","Gender","Count","%"
"Fairfield School District","=""0510011""","Female",39,0.8
"Fairfield School District","=""0510011""","Male",202,3.9
"Farmington School District","=""0520011""","Female",29,1.5
"Farmington School District","=""0520011""","Male",78,3.6
"Franklin School District","=""0530011""","Female","N/A","N/A"
"Franklin School District","=""0530011""","Male","N/A","N/A"
"Glastonbury School District","=""0540011""","Female",38,1.1
"Glastonbury School District","=""0540011""","Male",98,2.9
"Granby School District","=""0560011""","Female",15,1.4
"Granby School District","=""0560011""","Male",49,4.2
"Greenwich School District","=""0570011""","Female",68,1.6
"Greenwich School District","=""0570011""","Male",189,4.1
"Griswold School District","=""0580011""","Female",70,7.1
"Griswold School District","=""0580011""","Male",166,15.7
"Groton School District","=""0590011""","Female",120,5.0
"Groton School District","=""0590011""","Male",278,10.9
"Guilford School District","=""0600011""","Female",19,1.0
"Guilford School District","=""0600011""","Male",84,4.5
"Hamden School District","=""0620011""","Female",248,8.5
"Hamden School District","=""0620011""","Male",520,16.4
"Hampton School District","=""0630011""","Female","N/A","N/A"
"Hampton School District","=""0630011""","Male","*","*"
"Hartford School District","=""0640011""","Female",1388,13.4
"Hartford School District","=""0640011""","Male",2324,20.8
"Hartland School District","=""0650011""","Female","N/A","N/A"
"Hartland School District","=""0650011""","Male","N/A","N/A"
"Hebron School District","=""0670011""","Female","N/A","N/A"
"Hebron School District","=""0670011""","Male","*","*"
"Kent School District","=""0680011""","Female","N/A","N/A"
"Kent School District","=""0680011""","Male","N/A","N/A"
"Killingly School District","=""0690011""","Female",91,6.9
"Killingly School District","=""0690011""","Male",206,14.5
"Lebanon School District","=""0710011""","Female",23,3.2
"Lebanon School District","=""0710011""","Male",64,9.2
"Ledyard School District","=""0720011""","Female",25,1.9
"Ledyard School District","=""0720011""","Male",69,5.2
"Lisbon School District","=""0730011""","Female",7,2.8
"Lisbon School District","=""0730011""","Male",14,5.0
"Litchfield School District","=""0740011""","Female",14,2.4
"Litchfield School District","=""0740011""","Male",44,7.4
"Madison School District","=""0760011""","Female",27,1.5
"Madison School District","=""0760011""","Male",67,3.6
"Manchester School District","=""0770011""","Female",215,6.6
"Manchester School District","=""0770011""","Male",438,12.2
"Mansfield School District","=""0780011""","Female","*","*"
"Mansfield School District","=""0780011""","Male","*","*"
"Marlborough School District","=""0790011""","Female","*","*"
"Marlborough School District","=""0790011""","Male","*","*"
"Meriden School District","=""0800011""","Female",591,14.6
"Meriden School District","=""0800011""","Male",953,21.4
"Middletown School District","=""0830011""","Female",162,6.4
"Middletown School District","=""0830011""","Male",314,11.6
"Milford School District","=""0840011""","Female",51,1.5
"Milford School District","=""0840011""","Male",175,4.8
"Monroe School District","=""0850011""","Female",11,0.6
"Monroe School District","=""0850011""","Male",75,3.9
"Montville School District","=""0860011""","Female",70,5.3
"Montville School District","=""0860011""","Male",153,10.9
"Naugatuck School District","=""0880011""","Female",155,7.0
"Naugatuck School District","=""0880011""","Male",384,15.9
"New Britain School District","=""0890011""","Female",428,8.9
"New Britain School District","=""0890011""","Male",687,12.8
"New Canaan School District","=""0900011""","Female","*","*"
"New Canaan School District","=""0900011""","Male","*","*"
"New Fairfield School District","=""0910011""","Female",37,2.6
"New Fairfield School District","=""0910011""","Male",99,6.5
"New Hartford School District","=""0920011""","Female","*","*"
"New Hartford School District","=""0920011""","Male","*","*"
"New Haven School District","=""0930011""","Female",685,6.9
"New Haven School District","=""0930011""","Male",1297,12.8
"Newington School District","=""0940011""","Female",74,3.4
"Newington School District","=""0940011""","Male",193,8.3
"New London School District","=""0950011""","Female",233,16.5
"New London School District","=""0950011""","Male",436,25.4
"New Milford School District","=""0960011""","Female",85,3.7
"New Milford School District","=""0960011""","Male",223,8.9
"Newtown School District","=""0970011""","Female",48,1.8
"Newtown School District","=""0970011""","Male",126,4.5
"Norfolk School District","=""0980011""","Female","N/A","N/A"
"Norfolk School District","=""0980011""","Male","N/A","N/A"
"North Branford School District","=""0990011""","Female",62,5.4
"North Branford School District","=""0990011""","Male",162,14.3
"North Canaan School District","=""1000011""","Female","*","*"
"North Canaan School District","=""1000011""","Male","*","*"
"North Haven School District","=""1010011""","Female",37,2.1
"North Haven School District","=""1010011""","Male",120,6.5
"North Stonington School District","=""1020011""","Female",17,4.6
"North Stonington School District","=""1020011""","Male",45,10.5
"Norwalk School District","=""1030011""","Female",343,6.3
"Norwalk School District","=""1030011""","Male",665,11.6
"Norwich School District","=""1040011""","Female",131,7.0
"Norwich School District","=""1040011""","Male",285,13.8
"Old Saybrook School District","=""1060011""","Female",12,1.5
"Old Saybrook School District","=""1060011""","Male",56,7.0
"Orange School District","=""1070011""","Female","N/A","N/A"
"Orange School District","=""1070011""","Male",10,1.6
"Oxford School District","=""1080011""","Female",10,0.9
"Oxford School District","=""1080011""","Male",36,3.3
"Plainfield School District","=""1090011""","Female",61,4.7
"Plainfield School District","=""1090011""","Male",155,11.5
"Plainville School District","=""1100011""","Female",33,2.7
"Plainville School District","=""1100011""","Male",113,8.8
"Plymouth School District","=""1110011""","Female",42,5.1
"Plymouth School District","=""1110011""","Male",79,8.5
"Pomfret School District","=""1120011""","Female","N/A","N/A"
"Pomfret School District","=""1120011""","Male",6,2.3
"Portland School District","=""1130011""","Female",19,2.7
"Portland School District","=""1130011""","Male",40,5.5
"Preston School District","=""1140011""","Female","*","*"
"Preston School District","=""1140011""","Male","*","*"
"Putnam School District","=""1160011""","Female",29,5.1
"Putnam School District","=""1160011""","Male",113,16.5
"Redding School District","=""1170011""","Female","N/A","N/A"
"Redding School District","=""1170011""","Male",16,2.5
"Ridgefield School District","=""1180011""","Female",16,0.6
"Ridgefield School District","=""1180011""","Male",70,2.5
"Rocky Hill School District","=""1190011""","Female",21,1.6
"Rocky Hill School District","=""1190011""","Male",76,5.8
"Salem School District","=""1210011""","Female","*","*"
"Salem School District","=""1210011""","Male","*","*"
"Salisbury School District","=""1220011""","Female","*","*"
"Salisbury School District","=""1220011""","Male","*","*"
"Scotland School District","=""1230011""","Female","N/A","N/A"
"Scotland School District","=""1230011""","Male","*","*"
"Seymour School District","=""1240011""","Female",67,5.7
"Seymour School District","=""1240011""","Male",160,12.8
"Sharon School District","=""1250011""","Female","N/A","N/A"
"Sharon School District","=""1250011""","Male","*","*"
"Shelton School District","=""1260011""","Female",122,4.7
"Shelton School District","=""1260011""","Male",209,7.6
"Sherman School District","=""1270011""","Female","N/A","N/A"
"Sherman School District","=""1270011""","Male","*","*"
"Simsbury School District","=""1280011""","Female",35,1.5
"Simsbury School District","=""1280011""","Male",129,5.1
"Somers School District","=""1290011""","Female",15,1.9
"Somers School District","=""1290011""","Male",52,6.0
"Southington School District","=""1310011""","Female",82,2.4
"Southington School District","=""1310011""","Male",202,5.8
"South Windsor School District","=""1320011""","Female",64,3.0
"South Windsor School District","=""1320011""","Male",183,7.5
"Sprague School District","=""1330011""","Female",7,3.8
"Sprague School District","=""1330011""","Male",15,7.6
"Stafford School District","=""1340011""","Female",68,7.3
"Stafford School District","=""1340011""","Male",130,14.3
"Stamford School District","=""1350011""","Female",203,2.7
"Stamford School District","=""1350011""","Male",428,5.4
"Sterling School District","=""1360011""","Female","*","*"
"Sterling School District","=""1360011""","Male","*","*"
"Stonington School District","=""1370011""","Female",45,3.7
"Stonington School District","=""1370011""","Male",107,8.2
"Stratford School District","=""1380011""","Female",192,5.2
"Stratford School District","=""1380011""","Male",437,11.7
"Suffield School District","=""1390011""","Female",44,3.5
"Suffield School District","=""1390011""","Male",104,8.2
"Thomaston School District","=""1400011""","Female",30,5.5
"Thomaston School District","=""1400011""","Male",58,9.8
"Thompson School District","=""1410011""","Female",11,1.8
"Thompson School District","=""1410011""","Male",75,11.4
"Tolland School District","=""1420011""","Female",32,2.2
"Tolland School District","=""1420011""","Male",108,6.8
"Torrington School District","=""1430011""","Female",139,6.5
"Torrington School District","=""1430011""","Male",313,12.5
"Trumbull School District","=""1440011""","Female",22,0.6
"Trumbull School District","=""1440011""","Male",107,3.0
"Union School District","=""1450011""","Female","N/A","N/A"
"Union School District","=""1450011""","Male","*","*"
"Vernon School District","=""1460011""","Female",117,6.6
"Vernon School District","=""1460011""","Male",213,11.3
"Voluntown School District","=""1470011""","Female","N/A","N/A"
"Voluntown School District","=""1470011""","Male","*","*"
"Wallingford School District","=""1480011""","Female",148,4.4
"Wallingford School District","=""1480011""","Male",311,9.6
"Waterbury School District","=""1510011""","Female",1607,18.1
"Waterbury School District","=""1510011""","Male",2438,25.9
"Waterford School District","=""1520011""","Female",73,5.4
"Waterford School District","=""1520011""","Male",148,10.1
"Watertown School District","=""1530011""","Female",76,4.9
"Watertown School District","=""1530011""","Male",202,12.3
"Westbrook School District","=""1540011""","Female",15,3.3
"Westbrook School District","=""1540011""","Male",56,10.9
"West Hartford School District","=""1550011""","Female",156,3.1
"West Hartford School District","=""1550011""","Male",340,6.5
"West Haven School District","=""1560011""","Female",235,7.7
"West Haven School District","=""1560011""","Male",482,14.8
"Weston School District","=""1570011""","Female","*","*"
"Weston School District","=""1570011""","Male","*","*"
"Westport School District","=""1580011""","Female",24,0.9
"Westport School District","=""1580011""","Male",88,3.0
"Wethersfield School District","=""1590011""","Female",38,2.0
"Wethersfield School District","=""1590011""","Male",98,5.0
"Willington School District","=""1600011""","Female",6,2.4
"Willington School District","=""1600011""","Male",17,6.3
"Wilton School District","=""1610011""","Female",16,0.8
"Wilton School District","=""1610011""","Male",64,2.9
"Winchester School District","=""1620011""","Female","*","*"
"Winchester School District","=""1620011""","Male","*","*"
"Windham School District","=""1630011""","Female",221,14.0
"Windham School District","=""1630011""","Male",358,19.8
"Windsor School District","=""1640011""","Female",187,10.6
"Windsor School District","=""1640011""","Male",355,18.4
"Windsor Locks School District","=""1650011""","Female",36,4.1
"Windsor Locks School District","=""1650011""","Male",97,10.5
"Wolcott School District","=""1660011""","Female",30,2.3
"Wolcott School District","=""1660011""","Male",117,8.2
"Woodbridge School District","=""1670011""","Female","N/A","N/A"
"Woodbridge School District","=""1670011""","Male","*","*"
"Woodstock School District","=""1690011""","Female","*","*"
"Woodstock School District","=""1690011""","Male","*","*"
"Regional School District 01","=""2010012""","Female",8,3.2
"Regional School District 01","=""2010012""","Male",35,13.5
"Regional School District 04","=""2040012""","Female",11,2.2
"Regional School District 04","=""2040012""","Male",48,9.8
"Regional School District 05","=""2050012""","Female",38,3.2
"Regional School District 05","=""2050012""","Male",87,6.6
"Regional School District 06","=""2060012""","Female",22,4.0
"Regional School District 06","=""2060012""","Male",53,10.3
"Regional School District 07","=""2070012""","Female",22,3.8
"Regional School District 07","=""2070012""","Male",51,8.8
"Regional School District 08","=""2080012""","Female",44,5.3
"Regional School District 08","=""2080012""","Male",135,14.3
"Regional School District 09","=""2090012""","Female","*","*"
"Regional School District 09","=""2090012""","Male","*","*"
"Regional School District 10","=""2100012""","Female",20,1.5
"Regional School District 10","=""2100012""","Male",109,7.5
"Regional School District 11","=""2110012""","Female",9,7.0
"Regional School District 11","=""2110012""","Male",29,18.7
"Regional School District 12","=""2120012""","Female",16,3.7
"Regional School District 12","=""2120012""","Male",48,9.5
"Regional School District 13","=""2130012""","Female",9,0.9
"Regional School District 13","=""2130012""","Male",22,2.1
"Regional School District 14","=""2140012""","Female",15,1.4
"Regional School District 14","=""2140012""","Male",75,7.3
"Regional School District 15","=""2150012""","Female",40,1.9
"Regional School District 15","=""2150012""","Male",101,4.3
"Regional School District 16","=""2160012""","Female",44,3.5
"Regional School District 16","=""2160012""","Male",102,8.0
"Regional School District 17","=""2170012""","Female",21,1.7
"Regional School District 17","=""2170012""","Male",108,8.5
"Regional School District 18","=""2180012""","Female",11,1.5
"Regional School District 18","=""2180012""","Male",29,3.8
"Regional School District 19","=""2190012""","Female",39,6.5
"Regional School District 19","=""2190012""","Male",55,9.3
"Capitol Region Education Council","=""2410014""","Female",166,7.5
"Capitol Region Education Council","=""2410014""","Male",298,12.8
"Education Connection","=""2420014""","Female","*","*"
"Education Connection","=""2420014""","Male","*","*"
"Cooperative Educational Services","=""2430014""","Female",12,3.8
"Cooperative Educational Services","=""2430014""","Male",60,12.1
"Area Cooperative Educational Services","=""2440014""","Female",70,8.6
"Area Cooperative Educational Services","=""2440014""","Male",264,21.6
"Learn","=""2450014""","Female",20,3.2
"Learn","=""2450014""","Male",16,2.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male","*","*"
"Jumoke Academy District","=""2610013""","Female",8,3.4
"Jumoke Academy District","=""2610013""","Male",21,10.8
"Odyssey Community School District","=""2630013""","Female",6,6.7
"Odyssey Community School District","=""2630013""","Male",8,8.9
"Integrated Day Charter School District","=""2640013""","Female","*","*"
"Integrated Day Charter School District","=""2640013""","Male","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Female",8,8.4
"Interdistrict School for Arts and Comm District","=""2650013""","Male",16,19.0
"Common Ground High School District","=""2680013""","Female",8,10.4
"Common Ground High School District","=""2680013""","Male",6,7.8
"The Bridge Academy District","=""2690013""","Female",28,20.9
"The Bridge Academy District","=""2690013""","Male",38,29.2
"Side By Side Charter School District","=""2700013""","Female",10,9.3
"Side By Side Charter School District","=""2700013""","Male",11,9.0
"Explorations District","=""2720013""","Female",12,26.1
"Explorations District","=""2720013""","Male",21,61.8
"Trailblazers Academy District","=""2780013""","Female","N/A","N/A"
"Trailblazers Academy District","=""2780013""","Male",6,6.3
"Amistad Academy District","=""2790013""","Female",61,15.5
"Amistad Academy District","=""2790013""","Male",106,26.3
"New Beginnings Inc., Family Academy District","=""2800013""","Female",27,13.6
"New Beginnings Inc., Family Academy District","=""2800013""","Male",40,26.0
"Stamford Academy District","=""2820013""","Female",8,17.4
"Stamford Academy District","=""2820013""","Male",16,23.9
"Park City Prep Charter School District","=""2830013""","Female",28,22.4
"Park City Prep Charter School District","=""2830013""","Male",30,24.6
"Bridgeport Achievement First District","=""2850013""","Female",59,31.1
"Bridgeport Achievement First District","=""2850013""","Male",94,46.1
"Highville Charter School District","=""2860013""","Female","N/A","N/A"
"Highville Charter School District","=""2860013""","Male","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Female","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Male","N/A","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",67,24.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",125,37.4
"Elm City College Preparatory School District","=""2890013""","Female",43,14.1
"Elm City College Preparatory School District","=""2890013""","Male",95,35.2
"Unified School District #1","=""3360015""","Female","N/A","N/A"
"Unified School District #1","=""3360015""","Male","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*"
"Unified School District #2","=""3470015""","Female","*","*"
"Unified School District #2","=""3470015""","Male","*","*"
"Connecticut Technical High School System","=""9000016""","Female",836,21.7
"Connecticut Technical High School System","=""9000016""","Male",1716,25.9
"Norwich Free Academy District","=""9010022""","Female",150,12.1
"Norwich Free Academy District","=""9010022""","Male",177,16.1
"The Gilbert School District","=""9020022""","Female",18,10.0
"The Gilbert School District","=""9020022""","Male",32,21.3
"Woodstock Academy District","=""9030022""","Female",16,2.8
"Woodstock Academy District","=""9030022""","Male",53,10.0

