"District","District Code","Gender","Count","%"
"Stamford Academy District","=""2820013""","Female",10,17.2
"Stamford Academy District","=""2820013""","Male",31,40.3
"Park City Prep Charter School District","=""2830013""","Female",16,9.2
"Park City Prep Charter School District","=""2830013""","Male",41,22.9
"Bridgeport Achievement First District","=""2850013""","Female",114,23.7
"Bridgeport Achievement First District","=""2850013""","Male",187,38.6
"Highville Charter School District","=""2860013""","Female",10,5.0
"Highville Charter School District","=""2860013""","Male",16,8.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",100,22.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",171,36.2
"Elm City College Preparatory School District","=""2890013""","Female",34,10.1
"Elm City College Preparatory School District","=""2890013""","Male",58,20.2
"Brass City Charter School District","=""2900013""","Female","*","*"
"Brass City Charter School District","=""2900013""","Male","*","*"
"Elm City Montessori School District","=""2910013""","Female","N/A","N/A"
"Elm City Montessori School District","=""2910013""","Male","N/A","N/A"
"Path Academy District","=""2930013""","Female",21,37.5
"Path Academy District","=""2930013""","Male",32,44.4
"Great Oaks Charter School District","=""2940013""","Female",24,36.9
"Great Oaks Charter School District","=""2940013""","Male",31,54.4
"Booker T. Washington Academy District","=""2950013""","Female","*","*"
"Booker T. Washington Academy District","=""2950013""","Male","*","*"
"Unified School District #1","=""3360015""","Female","N/A","*"
"Unified School District #1","=""3360015""","Male","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*"
"Unified School District #2","=""3470015""","Female",15,19.7
"Unified School District #2","=""3470015""","Male",66,36.7
"Connecticut Technical High School System","=""9000016""","Female",572,13.7
"Connecticut Technical High School System","=""9000016""","Male",1086,16.9
"Norwich Free Academy District","=""9010022""","Female",99,8.4
"Norwich Free Academy District","=""9010022""","Male",181,16.3
"The Gilbert School District","=""9020022""","Female",42,18.4
"The Gilbert School District","=""9020022""","Male",129,38.7
"Woodstock Academy District","=""9030022""","Female",18,3.4
"Woodstock Academy District","=""9030022""","Male",47,9.7
"Andover School District","=""0010011""","Female","*","*"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",55,4.7
"Ansonia School District","=""0020011""","Male",121,9.2
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",18,1.1
"Avon School District","=""0040011""","Male",40,2.4
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",32,2.4
"Berlin School District","=""0070011""","Male",67,4.3
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",60,4.2
"Bethel School District","=""0090011""","Male",156,9.9
"Bloomfield School District","=""0110011""","Female",77,7.5
"Bloomfield School District","=""0110011""","Male",156,14.2
"Bolton School District","=""0120011""","Female",11,2.6
"Bolton School District","=""0120011""","Male",29,6.7
"Bozrah School District","=""0130011""","Female","*","*"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",40,2.7
"Branford School District","=""0140011""","Male",119,7.2
"Bridgeport School District","=""0150011""","Female",1148,11.5
"Bridgeport School District","=""0150011""","Male",2195,19.6
"Bristol School District","=""0170011""","Female",221,5.6
"Bristol School District","=""0170011""","Male",477,11.1
"Brookfield School District","=""0180011""","Female",19,1.4
"Brookfield School District","=""0180011""","Male",67,4.8
"Brooklyn School District","=""0190011""","Female",7,1.6
"Brooklyn School District","=""0190011""","Male",29,6.1
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",8,1.0
"Canton School District","=""0230011""","Male",14,1.7
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","N/A","N/A"
"Cheshire School District","=""0250011""","Female",19,0.8
"Cheshire School District","=""0250011""","Male",123,5.3
"Chester School District","=""0260011""","Female","*","*"
"Chester School District","=""0260011""","Male","N/A","N/A"
"Clinton School District","=""0270011""","Female",21,2.3
"Clinton School District","=""0270011""","Male",60,6.2
"Colchester School District","=""0280011""","Female",29,2.2
"Colchester School District","=""0280011""","Male",86,6.4
"Colebrook School District","=""0290011""","Female","*","*"
"Colebrook School District","=""0290011""","Male","*","*"
