"District","District Code","Gender","Count","%"
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",63,5.5
"Ansonia School District","=""0020011""","Male",136,10.6
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",20,1.2
"Avon School District","=""0040011""","Male",40,2.4
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","N/A","N/A"
"Berlin School District","=""0070011""","Female",16,1.2
"Berlin School District","=""0070011""","Male",74,4.8
"Bethany School District","=""0080011""","Female","*","*"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",46,3.3
"Bethel School District","=""0090011""","Male",159,9.9
"Bloomfield School District","=""0110011""","Female",78,7.7
"Bloomfield School District","=""0110011""","Male",198,18.2
"Bolton School District","=""0120011""","Female",11,2.7
"Bolton School District","=""0120011""","Male",24,6.0
"Bozrah School District","=""0130011""","Female","*","*"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",48,3.2
"Branford School District","=""0140011""","Male",132,8.2
"Bridgeport School District","=""0150011""","Female",1135,11.1
"Bridgeport School District","=""0150011""","Male",2192,19.2
"Bristol School District","=""0170011""","Female",183,4.6
"Bristol School District","=""0170011""","Male",503,11.8
"Brookfield School District","=""0180011""","Female",19,1.4
"Brookfield School District","=""0180011""","Male",65,4.7
"Brooklyn School District","=""0190011""","Female",15,3.4
"Brooklyn School District","=""0190011""","Male",44,9.5
"Canaan School District","=""0210011""","Female","*","*"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","N/A","N/A"
"Canterbury School District","=""0220011""","Male",11,4.0
"Canton School District","=""0230011""","Female",8,1.0
"Canton School District","=""0230011""","Male",34,4.3
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*"
"Cheshire School District","=""0250011""","Female",17,0.8
"Cheshire School District","=""0250011""","Male",127,5.5
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","N/A","N/A"
"Clinton School District","=""0270011""","Female",16,1.8
"Clinton School District","=""0270011""","Male",45,4.8
"Colchester School District","=""0280011""","Female",25,1.9
"Colchester School District","=""0280011""","Male",77,5.9
"Colebrook School District","=""0290011""","Female","*","*"
"Colebrook School District","=""0290011""","Male","N/A","N/A"
"Columbia School District","=""0300011""","Female","*","*"
"Columbia School District","=""0300011""","Male","*","*"
"Cornwall School District","=""0310011""","Female","*","*"
"Cornwall School District","=""0310011""","Male","*","*"
"Coventry School District","=""0320011""","Female",15,1.8
"Coventry School District","=""0320011""","Male",31,3.7
"Cromwell School District","=""0330011""","Female",30,3.1
"Cromwell School District","=""0330011""","Male",100,9.6
"Danbury School District","=""0340011""","Female",257,4.7
"Danbury School District","=""0340011""","Male",562,9.6
"Darien School District","=""0350011""","Female",6,0.3
"Darien School District","=""0350011""","Male",29,1.1
"Deep River School District","=""0360011""","Female","*","*"
"Deep River School District","=""0360011""","Male","*","*"
"Derby School District","=""0370011""","Female",37,5.6
"Derby School District","=""0370011""","Male",114,15.4
"Eastford School District","=""0390011""","Female","*","*"
"Eastford School District","=""0390011""","Male","*","*"
"East Granby School District","=""0400011""","Female",14,3.2
"East Granby School District","=""0400011""","Male",44,9.8
"East Haddam School District","=""0410011""","Female",6,1.1
"East Haddam School District","=""0410011""","Male",17,3.1
"East Hampton School District","=""0420011""","Female",7,0.7
"East Hampton School District","=""0420011""","Male",55,5.7
"East Hartford School District","=""0430011""","Female",303,9.0
"East Hartford School District","=""0430011""","Male",571,15.6
"East Haven School District","=""0440011""","Female",58,3.9
"East Haven School District","=""0440011""","Male",188,11.9
"East Lyme School District","=""0450011""","Female",16,1.2
"East Lyme School District","=""0450011""","Male",71,4.9
"Easton School District","=""0460011""","Female","*","*"
"Easton School District","=""0460011""","Male","*","*"
"East Windsor School District","=""0470011""","Female",25,4.8
"East Windsor School District","=""0470011""","Male",59,10.2
"Ellington School District","=""0480011""","Female",37,2.8
"Ellington School District","=""0480011""","Male",102,7.6
"Enfield School District","=""0490011""","Female",110,4.3
"Enfield School District","=""0490011""","Male",313,11.5
"Essex School District","=""0500011""","Female","N/A","N/A"
"Essex School District","=""0500011""","Male","N/A","N/A"
"Fairfield School District","=""0510011""","Female",40,0.8
"Fairfield School District","=""0510011""","Male",168,3.2
"Farmington School District","=""0520011""","Female",20,1.0
"Farmington School District","=""0520011""","Male",39,1.9
"Franklin School District","=""0530011""","Female","N/A","N/A"
"Franklin School District","=""0530011""","Male",9,9.6
"Glastonbury School District","=""0540011""","Female",22,0.7
"Glastonbury School District","=""0540011""","Male",46,1.5
"Granby School District","=""0560011""","Female",10,1.0
"Granby School District","=""0560011""","Male",54,5.4
"Greenwich School District","=""0570011""","Female",30,0.7
"Greenwich School District","=""0570011""","Male",68,1.5
"Griswold School District","=""0580011""","Female",31,3.3
"Griswold School District","=""0580011""","Male",86,8.9
"Groton School District","=""0590011""","Female",83,3.8
"Groton School District","=""0590011""","Male",254,10.8
"Guilford School District","=""0600011""","Female",12,0.7
"Guilford School District","=""0600011""","Male",67,3.7
"Hamden School District","=""0620011""","Female",132,4.9
"Hamden School District","=""0620011""","Male",325,10.8
"Hampton School District","=""0630011""","Female","N/A","N/A"
"Hampton School District","=""0630011""","Male","*","*"
"Hartford School District","=""0640011""","Female",1115,10.8
"Hartford School District","=""0640011""","Male",1967,17.5
"Hartland School District","=""0650011""","Female","*","*"
"Hartland School District","=""0650011""","Male","*","*"
"Hebron School District","=""0670011""","Female","N/A","N/A"
"Hebron School District","=""0670011""","Male",9,2.3
"Kent School District","=""0680011""","Female","N/A","N/A"
"Kent School District","=""0680011""","Male","*","*"
"Killingly School District","=""0690011""","Female",46,3.6
"Killingly School District","=""0690011""","Male",129,9.7
"Lebanon School District","=""0710011""","Female",8,1.5
"Lebanon School District","=""0710011""","Male",17,3.1
"Ledyard School District","=""0720011""","Female",22,1.8
"Ledyard School District","=""0720011""","Male",92,7.4
"Lisbon School District","=""0730011""","Female","*","*"
"Lisbon School District","=""0730011""","Male","*","*"
"Litchfield School District","=""0740011""","Female","*","*"
"Litchfield School District","=""0740011""","Male","*","*"
"Madison School District","=""0760011""","Female",16,1.1
"Madison School District","=""0760011""","Male",38,2.4
"Manchester School District","=""0770011""","Female",171,5.5
"Manchester School District","=""0770011""","Male",394,12.1
"Mansfield School District","=""0780011""","Female","*","*"
"Mansfield School District","=""0780011""","Male","*","*"
"Marlborough School District","=""0790011""","Female","N/A","N/A"
"Marlborough School District","=""0790011""","Male","*","*"
"Meriden School District","=""0800011""","Female",209,5.4
"Meriden School District","=""0800011""","Male",407,9.8
"Middletown School District","=""0830011""","Female",124,5.4
"Middletown School District","=""0830011""","Male",259,10.5
"Milford School District","=""0840011""","Female",110,3.8
"Milford School District","=""0840011""","Male",294,9.1
"Monroe School District","=""0850011""","Female",9,0.6
"Monroe School District","=""0850011""","Male",54,3.3
"Montville School District","=""0860011""","Female",31,2.8
"Montville School District","=""0860011""","Male",76,6.5
"Naugatuck School District","=""0880011""","Female",104,5.2
"Naugatuck School District","=""0880011""","Male",232,10.0
"New Britain School District","=""0890011""","Female",493,10.3
"New Britain School District","=""0890011""","Male",901,16.5
"New Canaan School District","=""0900011""","Female",12,0.6
"New Canaan School District","=""0900011""","Male",15,0.7
"New Fairfield School District","=""0910011""","Female",21,1.8
"New Fairfield School District","=""0910011""","Male",45,3.4
"New Hartford School District","=""0920011""","Female","N/A","N/A"
"New Hartford School District","=""0920011""","Male","*","*"
"New Haven School District","=""0930011""","Female",625,5.7
"New Haven School District","=""0930011""","Male",1167,10.5
"Newington School District","=""0940011""","Female",43,2.1
"Newington School District","=""0940011""","Male",150,7.3
"New London School District","=""0950011""","Female",176,10.8
"New London School District","=""0950011""","Male",352,19.4
"New Milford School District","=""0960011""","Female",53,2.6
"New Milford School District","=""0960011""","Male",166,7.3
"Newtown School District","=""0970011""","Female",13,0.6
"Newtown School District","=""0970011""","Male",105,4.4
"Norfolk School District","=""0980011""","Female","*","*"
"Norfolk School District","=""0980011""","Male","*","*"
"North Branford School District","=""0990011""","Female",25,2.7
"North Branford School District","=""0990011""","Male",76,8.0
"North Canaan School District","=""1000011""","Female","N/A","N/A"
"North Canaan School District","=""1000011""","Male","N/A","N/A"
"North Haven School District","=""1010011""","Female",24,1.5
"North Haven School District","=""1010011""","Male",72,4.4
"North Stonington School District","=""1020011""","Female",7,2.1
"North Stonington School District","=""1020011""","Male",24,6.0
"Norwalk School District","=""1030011""","Female",221,3.9
"Norwalk School District","=""1030011""","Male",438,7.3
"Norwich School District","=""1040011""","Female",67,3.8
"Norwich School District","=""1040011""","Male",215,10.9
"Old Saybrook School District","=""1060011""","Female",9,1.3
"Old Saybrook School District","=""1060011""","Male",26,3.8
"Orange School District","=""1070011""","Female","*","*"
"Orange School District","=""1070011""","Male","*","*"
"Oxford School District","=""1080011""","Female","*","*"
"Oxford School District","=""1080011""","Male","*","*"
"Plainfield School District","=""1090011""","Female",53,4.6
"Plainfield School District","=""1090011""","Male",162,13.5
"Plainville School District","=""1100011""","Female",44,3.8
"Plainville School District","=""1100011""","Male",87,6.9
"Plymouth School District","=""1110011""","Female",19,2.6
"Plymouth School District","=""1110011""","Male",63,7.8
"Pomfret School District","=""1120011""","Female","*","*"
"Pomfret School District","=""1120011""","Male","*","*"
"Portland School District","=""1130011""","Female",11,1.7
"Portland School District","=""1130011""","Male",39,5.6
"Preston School District","=""1140011""","Female","*","*"
"Preston School District","=""1140011""","Male","*","*"
"Putnam School District","=""1160011""","Female",19,3.1
"Putnam School District","=""1160011""","Male",59,9.7
"Redding School District","=""1170011""","Female","*","*"
"Redding School District","=""1170011""","Male","*","*"
"Ridgefield School District","=""1180011""","Female",8,0.3
"Ridgefield School District","=""1180011""","Male",59,2.3
"Rocky Hill School District","=""1190011""","Female",7,0.5
"Rocky Hill School District","=""1190011""","Male",37,2.8
"Salem School District","=""1210011""","Female","*","*"
"Salem School District","=""1210011""","Male","*","*"
"Salisbury School District","=""1220011""","Female","*","*"
"Salisbury School District","=""1220011""","Male","*","*"
"Scotland School District","=""1230011""","Female","*","*"
"Scotland School District","=""1230011""","Male","*","*"
"Seymour School District","=""1240011""","Female",51,4.7
"Seymour School District","=""1240011""","Male",106,9.3
"Sharon School District","=""1250011""","Female","N/A","N/A"
"Sharon School District","=""1250011""","Male","N/A","N/A"
