"District","District Code","Gender","Count","%"
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",68,5.9
"Ansonia School District","=""0020011""","Male",155,12.0
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",26,1.5
"Avon School District","=""0040011""","Male",52,3.0
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",32,2.3
"Berlin School District","=""0070011""","Male",78,4.8
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",74,5.1
"Bethel School District","=""0090011""","Male",141,9.0
"Bloomfield School District","=""0110011""","Female",85,8.3
"Bloomfield School District","=""0110011""","Male",179,16.5
"Bolton School District","=""0120011""","Female",9,2.0
"Bolton School District","=""0120011""","Male",18,4.0
"Bozrah School District","=""0130011""","Female","N/A","N/A"
"Bozrah School District","=""0130011""","Male",6,5.0
"Branford School District","=""0140011""","Female",49,3.0
"Branford School District","=""0140011""","Male",108,6.4
"Bridgeport School District","=""0150011""","Female",1273,12.8
"Bridgeport School District","=""0150011""","Male",2183,20.2
"Bristol School District","=""0170011""","Female",209,5.2
"Bristol School District","=""0170011""","Male",502,11.4
"Brookfield School District","=""0180011""","Female",15,1.1
"Brookfield School District","=""0180011""","Male",63,4.4
"Brooklyn School District","=""0190011""","Female","*","*"
"Brooklyn School District","=""0190011""","Male","*","*"
"Canaan School District","=""0210011""","Female","*","*"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female",7,0.8
"Canton School District","=""0230011""","Male",25,2.9
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*"
"Cheshire School District","=""0250011""","Female",28,1.2
"Cheshire School District","=""0250011""","Male",96,4.0
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",27,2.8
"Clinton School District","=""0270011""","Male",84,8.2
"Colchester School District","=""0280011""","Female",36,2.5
"Colchester School District","=""0280011""","Male",85,5.8
"Colebrook School District","=""0290011""","Female","N/A","N/A"
"Colebrook School District","=""0290011""","Male","*","*"
"Columbia School District","=""0300011""","Female","*","*"
"Columbia School District","=""0300011""","Male","*","*"
"Cornwall School District","=""0310011""","Female","N/A","N/A"
"Cornwall School District","=""0310011""","Male","N/A","N/A"
"Coventry School District","=""0320011""","Female",21,2.4
"Coventry School District","=""0320011""","Male",57,6.7
"Cromwell School District","=""0330011""","Female",45,4.7
"Cromwell School District","=""0330011""","Male",100,9.6
"Danbury School District","=""0340011""","Female",405,7.6
"Danbury School District","=""0340011""","Male",709,12.5
"Darien School District","=""0350011""","Female","*","*"
"Darien School District","=""0350011""","Male","*","*"
"Deep River School District","=""0360011""","Female","N/A","N/A"
"Deep River School District","=""0360011""","Male","*","*"
"Derby School District","=""0370011""","Female",55,7.3
"Derby School District","=""0370011""","Male",108,13.8
"Eastford School District","=""0390011""","Female","N/A","N/A"
"Eastford School District","=""0390011""","Male","*","*"
"East Granby School District","=""0400011""","Female","*","*"
"East Granby School District","=""0400011""","Male","*","*"
"East Haddam School District","=""0410011""","Female","N/A","N/A"
"East Haddam School District","=""0410011""","Male","N/A","N/A"
"East Hampton School District","=""0420011""","Female",11,1.2
"East Hampton School District","=""0420011""","Male",46,4.8
"East Hartford School District","=""0430011""","Female",420,12.4
"East Hartford School District","=""0430011""","Male",852,22.5
"East Haven School District","=""0440011""","Female",103,6.6
"East Haven School District","=""0440011""","Male",170,10.2
"East Lyme School District","=""0450011""","Female",21,1.4
"East Lyme School District","=""0450011""","Male",68,4.6
"Easton School District","=""0460011""","Female","N/A","N/A"
"Easton School District","=""0460011""","Male","*","*"
"East Windsor School District","=""0470011""","Female",51,8.0
"East Windsor School District","=""0470011""","Male",87,13.8
"Ellington School District","=""0480011""","Female",34,2.5
"Ellington School District","=""0480011""","Male",94,6.7
"Enfield School District","=""0490011""","Female",151,5.7
"Enfield School District","=""0490011""","Male",378,13.4
"Essex School District","=""0500011""","Female","N/A","N/A"
"Essex School District","=""0500011""","Male",7,2.4
"Fairfield School District","=""0510011""","Female",35,0.7
"Fairfield School District","=""0510011""","Male",199,3.7
"Farmington School District","=""0520011""","Female",24,1.2
"Farmington School District","=""0520011""","Male",47,2.2
"Franklin School District","=""0530011""","Female","N/A","N/A"
"Franklin School District","=""0530011""","Male","*","*"
"Glastonbury School District","=""0540011""","Female",31,0.9
"Glastonbury School District","=""0540011""","Male",83,2.5
"Granby School District","=""0560011""","Female",6,0.6
"Granby School District","=""0560011""","Male",34,3.1
"Greenwich School District","=""0570011""","Female",46,1.1
"Greenwich School District","=""0570011""","Male",119,2.6
"Griswold School District","=""0580011""","Female",49,5.0
"Griswold School District","=""0580011""","Male",128,12.5
"Groton School District","=""0590011""","Female",97,4.3
"Groton School District","=""0590011""","Male",270,11.2
"Guilford School District","=""0600011""","Female",14,0.8
"Guilford School District","=""0600011""","Male",81,4.4
"Hamden School District","=""0620011""","Female",216,7.6
"Hamden School District","=""0620011""","Male",414,13.4
"Hampton School District","=""0630011""","Female","N/A","N/A"
"Hampton School District","=""0630011""","Male","N/A","N/A"
"Hartford School District","=""0640011""","Female",1359,12.9
"Hartford School District","=""0640011""","Male",2422,21.2
"Hartland School District","=""0650011""","Female","*","*"
"Hartland School District","=""0650011""","Male","*","*"
"Hebron School District","=""0670011""","Female","N/A","N/A"
"Hebron School District","=""0670011""","Male","*","*"
"Kent School District","=""0680011""","Female","N/A","N/A"
"Kent School District","=""0680011""","Male","N/A","N/A"
"Killingly School District","=""0690011""","Female",83,6.2
"Killingly School District","=""0690011""","Male",208,14.8
"Lebanon School District","=""0710011""","Female",10,1.6
"Lebanon School District","=""0710011""","Male",38,6.1
"Ledyard School District","=""0720011""","Female",25,2.0
"Ledyard School District","=""0720011""","Male",85,6.3
"Lisbon School District","=""0730011""","Female","*","*"
"Lisbon School District","=""0730011""","Male","*","*"
"Litchfield School District","=""0740011""","Female",13,2.5
"Litchfield School District","=""0740011""","Male",38,7.1
"Madison School District","=""0760011""","Female",28,1.7
"Madison School District","=""0760011""","Male",58,3.3
"Manchester School District","=""0770011""","Female",197,6.6
"Manchester School District","=""0770011""","Male",432,13.1
"Mansfield School District","=""0780011""","Female","*","*"
"Mansfield School District","=""0780011""","Male","*","*"
"Marlborough School District","=""0790011""","Female","*","*"
"Marlborough School District","=""0790011""","Male","*","*"
"Meriden School District","=""0800011""","Female",374,9.6
"Meriden School District","=""0800011""","Male",734,16.9
"Middletown School District","=""0830011""","Female",130,5.5
"Middletown School District","=""0830011""","Male",282,11.0
"Milford School District","=""0840011""","Female",92,2.9
"Milford School District","=""0840011""","Male",285,8.2
"Monroe School District","=""0850011""","Female",9,0.5
"Monroe School District","=""0850011""","Male",46,2.6
"Montville School District","=""0860011""","Female",49,4.1
"Montville School District","=""0860011""","Male",92,7.3
"Naugatuck School District","=""0880011""","Female",95,4.5
"Naugatuck School District","=""0880011""","Male",280,11.8
"New Britain School District","=""0890011""","Female",710,14.6
"New Britain School District","=""0890011""","Male",1226,22.6
"New Canaan School District","=""0900011""","Female","N/A","N/A"
"New Canaan School District","=""0900011""","Male","N/A","N/A"
"New Fairfield School District","=""0910011""","Female",39,3.0
"New Fairfield School District","=""0910011""","Male",74,5.0
"New Hartford School District","=""0920011""","Female","N/A","N/A"
"New Hartford School District","=""0920011""","Male","*","*"
"New Haven School District","=""0930011""","Female",567,5.4
"New Haven School District","=""0930011""","Male",1104,10.3
"Newington School District","=""0940011""","Female",79,3.7
"Newington School District","=""0940011""","Male",178,8.0
"New London School District","=""0950011""","Female",196,13.7
"New London School District","=""0950011""","Male",450,26.2
"New Milford School District","=""0960011""","Female",80,3.6
"New Milford School District","=""0960011""","Male",193,8.0
"Newtown School District","=""0970011""","Female",25,1.0
"Newtown School District","=""0970011""","Male",93,3.5
"Norfolk School District","=""0980011""","Female","N/A","N/A"
"Norfolk School District","=""0980011""","Male","N/A","N/A"
"North Branford School District","=""0990011""","Female",36,3.4
"North Branford School District","=""0990011""","Male",118,11.2
"North Canaan School District","=""1000011""","Female","*","*"
"North Canaan School District","=""1000011""","Male","*","*"
"North Haven School District","=""1010011""","Female",46,2.7
"North Haven School District","=""1010011""","Male",97,5.3
"North Stonington School District","=""1020011""","Female",11,2.9
"North Stonington School District","=""1020011""","Male",19,4.7
"Norwalk School District","=""1030011""","Female",314,5.8
"Norwalk School District","=""1030011""","Male",607,10.5
"Norwich School District","=""1040011""","Female",109,5.8
"Norwich School District","=""1040011""","Male",245,12.2
"Old Saybrook School District","=""1060011""","Female",15,1.9
"Old Saybrook School District","=""1060011""","Male",49,6.7
"Orange School District","=""1070011""","Female","*","*"
"Orange School District","=""1070011""","Male","*","*"
"Oxford School District","=""1080011""","Female",13,1.2
"Oxford School District","=""1080011""","Male",34,3.2
"Plainfield School District","=""1090011""","Female",69,5.5
"Plainfield School District","=""1090011""","Male",175,14.2
"Plainville School District","=""1100011""","Female",33,2.9
"Plainville School District","=""1100011""","Male",78,6.3
"Plymouth School District","=""1110011""","Female",16,2.1
"Plymouth School District","=""1110011""","Male",62,7.0
"Pomfret School District","=""1120011""","Female","*","*"
"Pomfret School District","=""1120011""","Male","*","*"
"Portland School District","=""1130011""","Female",10,1.4
"Portland School District","=""1130011""","Male",47,6.8
"Preston School District","=""1140011""","Female","*","*"
"Preston School District","=""1140011""","Male","*","*"
"Putnam School District","=""1160011""","Female",29,4.7
"Putnam School District","=""1160011""","Male",86,12.7
"Redding School District","=""1170011""","Female","*","*"
"Redding School District","=""1170011""","Male","*","*"
"Ridgefield School District","=""1180011""","Female",9,0.3
"Ridgefield School District","=""1180011""","Male",57,2.1
"Rocky Hill School District","=""1190011""","Female",16,1.3
"Rocky Hill School District","=""1190011""","Male",54,4.4
"Salem School District","=""1210011""","Female","N/A","N/A"
"Salem School District","=""1210011""","Male","*","*"
"Salisbury School District","=""1220011""","Female","N/A","N/A"
"Salisbury School District","=""1220011""","Male",9,5.6
"Scotland School District","=""1230011""","Female","*","*"
"Scotland School District","=""1230011""","Male","*","*"
"Seymour School District","=""1240011""","Female",50,4.5
"Seymour School District","=""1240011""","Male",133,11.3
