"",,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","Gender","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",101,29.2,141,37.0,85,20.7,100,22.3,91,17.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",187,45.8,251,57.8,171,38.5,171,36.2,152,29.9
"Amistad Academy District","=""2790013""","Female",71,17.0,132,30.1,132,28.6,124,25.3,112,21.1
"Amistad Academy District","=""2790013""","Male",129,30.1,197,42.8,203,43.7,187,38.6,173,35.2
"Andover School District","=""0010011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Female",81,6.5,68,5.9,52,4.7,55,4.7,63,5.5
"Ansonia School District","=""0020011""","Male",159,11.9,155,12.0,143,11.3,121,9.2,136,10.6
"Area Cooperative Educational Services","=""2440014""","Female",69,8.6,77,9.5,84,10.4,74,9.1,75,9.1
"Area Cooperative Educational Services","=""2440014""","Male",233,19.7,205,17.7,188,15.9,186,15.6,181,15.4
"Ashford School District","=""0030011""","Female","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Male","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Female",22,1.3,26,1.5,20,1.2,18,1.1,20,1.2
"Avon School District","=""0040011""","Male",41,2.3,52,3.0,50,3.0,40,2.4,40,2.4
"Barkhamsted School District","=""0050011""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Berlin School District","=""0070011""","Female",47,3.3,32,2.3,28,2.0,32,2.4,16,1.2
"Berlin School District","=""0070011""","Male",117,7.4,78,4.8,78,4.9,67,4.3,74,4.8
"Bethany School District","=""0080011""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bethany School District","=""0080011""","Male","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Female",71,4.9,74,5.1,63,4.3,60,4.2,46,3.3
"Bethel School District","=""0090011""","Male",125,7.9,141,9.0,139,8.9,156,9.9,159,9.9
"Bloomfield School District","=""0110011""","Female",86,8.3,85,8.3,88,8.6,77,7.5,78,7.7
"Bloomfield School District","=""0110011""","Male",194,17.4,179,16.5,202,18.7,156,14.2,198,18.2
