"",,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Bolton School District","=""0120011""","Female",7,1.5,9,2.0,6,1.4,11,2.6,11,2.7
"Bolton School District","=""0120011""","Male",17,3.9,18,4.0,20,4.5,29,6.7,24,6.0
"Booker T. Washington Academy District","=""2950013""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Booker T. Washington Academy District","=""2950013""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bozrah School District","=""0130011""","Female","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Bozrah School District","=""0130011""","Male","*","*",6,5.0,7,5.5,"*","*","*","*"
"Branford School District","=""0140011""","Female",58,3.5,49,3.0,50,3.2,40,2.7,48,3.2
"Branford School District","=""0140011""","Male",143,8.5,108,6.4,148,8.7,119,7.2,132,8.2
"Brass City Charter School District","=""2900013""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Brass City Charter School District","=""2900013""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Female",65,26.3,56,16.5,95,23.2,114,23.7,92,17.8
"Bridgeport Achievement First District","=""2850013""","Male",104,36.9,72,20.9,148,36.0,187,38.6,143,29.7
"Bridgeport School District","=""0150011""","Female",1406,14.1,1273,12.8,1130,11.2,1148,11.5,1135,11.1
"Bridgeport School District","=""0150011""","Male",2381,22.2,2183,20.2,2251,20.3,2195,19.6,2192,19.2
"Bristol School District","=""0170011""","Female",220,5.4,209,5.2,204,5.1,221,5.6,183,4.6
"Bristol School District","=""0170011""","Male",500,11.3,502,11.4,528,12.1,477,11.1,503,11.8
"Brookfield School District","=""0180011""","Female",29,2.0,15,1.1,17,1.2,19,1.4,19,1.4
"Brookfield School District","=""0180011""","Male",61,4.3,63,4.4,55,3.9,67,4.8,65,4.7
"Brooklyn School District","=""0190011""","Female",15,3.4,"*","*",9,2.0,7,1.6,15,3.4
"Brooklyn School District","=""0190011""","Male",53,10.8,"*","*",39,8.0,29,6.1,44,9.5
"Canaan School District","=""0210011""","Female","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Canaan School District","=""0210011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*","*","*","N/A","N/A","*","*","N/A","N/A"
"Canterbury School District","=""0220011""","Male","*","*","*","*",20,7.5,"*","*",11,4.0
"Canton School District","=""0230011""","Female",18,2.0,7,0.8,"*","*",8,1.0,8,1.0
"Canton School District","=""0230011""","Male",31,3.5,25,2.9,"*","*",14,1.7,34,4.3
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11,12.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",39,31.0
"Capitol Region Education Council","=""2410014""","Female",125,4.7,220,7.3,256,7.4,282,7.3,348,8.8
"Capitol Region Education Council","=""2410014""","Male",187,6.7,321,10.2,366,10.2,371,9.0,480,11.3
"Chaplin School District","=""0240011""","Female","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Chaplin School District","=""0240011""","Male","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Cheshire School District","=""0250011""","Female",34,1.4,28,1.2,32,1.4,19,0.8,17,0.8
"Cheshire School District","=""0250011""","Male",97,3.9,96,4.0,89,3.7,123,5.3,127,5.5
"Chester School District","=""0260011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Clinton School District","=""0270011""","Female",32,3.3,27,2.8,29,3.0,21,2.3,16,1.8
"Clinton School District","=""0270011""","Male",91,8.7,84,8.2,74,7.4,60,6.2,45,4.8
"Colchester School District","=""0280011""","Female",42,2.8,36,2.5,31,2.2,29,2.2,25,1.9
"Colchester School District","=""0280011""","Male",89,5.9,85,5.8,86,6.1,86,6.4,77,5.9
"Colebrook School District","=""0290011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Colebrook School District","=""0290011""","Male","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Columbia School District","=""0300011""","Female","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Male","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Female",6,9.0,"*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Male",13,14.1,"*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Female",827,20.8,651,16.3,559,13.5,572,13.7,537,12.8
"Connecticut Technical High School System","=""9000016""","Male",1897,28.8,1427,21.9,1157,18.0,1086,16.9,1000,15.9
"Cooperative Educational Services","=""2430014""","Female",17,5.0,14,4.2,6,1.8,12,3.3,12,3.3
"Cooperative Educational Services","=""2430014""","Male",44,8.6,36,6.9,33,6.4,48,9.3,38,7.2
"Cornwall School District","=""0310011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Cornwall School District","=""0310011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Coventry School District","=""0320011""","Female",27,3.0,21,2.4,18,2.1,8,1.0,15,1.8
"Coventry School District","=""0320011""","Male",77,8.6,57,6.7,58,6.7,51,6.1,31,3.7
"Cromwell School District","=""0330011""","Female",63,6.6,45,4.7,41,4.3,35,3.7,30,3.1
"Cromwell School District","=""0330011""","Male",124,11.7,100,9.6,99,9.5,103,9.8,100,9.6
"Danbury School District","=""0340011""","Female",348,6.5,405,7.6,294,5.5,363,6.7,257,4.7
"Danbury School District","=""0340011""","Male",736,13.2,709,12.5,637,11.4,741,13.0,562,9.6
"Darien School District","=""0350011""","Female",7,0.3,"*","*","*","*",9,0.4,6,0.3
"Darien School District","=""0350011""","Male",44,1.7,"*","*","*","*",41,1.6,29,1.1
"Deep River School District","=""0360011""","Female","*","*","N/A","N/A","*","*","N/A","N/A","*","*"
"Deep River School District","=""0360011""","Male","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Derby School District","=""0370011""","Female",37,5.2,55,7.3,61,8.0,60,8.3,37,5.6
"Derby School District","=""0370011""","Male",90,11.5,108,13.8,124,16.1,130,17.2,114,15.4
"East Granby School District","=""0400011""","Female",7,1.7,"*","*",6,1.5,8,1.8,14,3.2
"East Granby School District","=""0400011""","Male",18,4.0,"*","*",26,5.6,29,6.4,44,9.8
"East Haddam School District","=""0410011""","Female",21,3.2,"N/A","N/A","N/A","N/A","*","*",6,1.1
"East Haddam School District","=""0410011""","Male",27,4.1,"N/A","N/A","N/A","N/A","*","*",17,3.1
"East Hampton School District","=""0420011""","Female",22,2.2,11,1.2,17,1.8,7,0.8,7,0.7
"East Hampton School District","=""0420011""","Male",53,5.4,46,4.8,54,5.7,38,4.1,55,5.7
"East Hartford School District","=""0430011""","Female",559,16.2,420,12.4,405,11.7,400,11.7,303,9.0
"East Hartford School District","=""0430011""","Male",1027,27.1,852,22.5,823,22.0,733,19.9,571,15.6
"East Haven School District","=""0440011""","Female",133,8.3,103,6.6,74,4.9,46,3.1,58,3.9
"East Haven School District","=""0440011""","Male",245,14.2,170,10.2,156,9.6,141,8.9,188,11.9
"East Lyme School District","=""0450011""","Female",33,2.2,21,1.4,21,1.5,24,1.7,16,1.2
"East Lyme School District","=""0450011""","Male",79,5.3,68,4.6,59,4.0,72,4.9,71,4.9
"East Windsor School District","=""0470011""","Female",55,8.5,51,8.0,45,7.6,23,4.3,25,4.8
"East Windsor School District","=""0470011""","Male",112,16.7,87,13.8,88,14.2,70,11.7,59,10.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female","*","*",10,5.7,"N/A","N/A",26,12.2,17,7.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male","*","*",25,14.9,"N/A","N/A",35,19.6,39,20.2
"Eastford School District","=""0390011""","Female","N/A","N/A","N/A","N/A","*","*","N/A","N/A","*","*"
"Eastford School District","=""0390011""","Male",6,6.2,"*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Easton School District","=""0460011""","Male","*","*","*","*",21,4.1,9,1.8,"*","*"
"Education Connection","=""2420014""","Female","N/A","N/A","*","*","*","*",8,5.8,7,6.3
"Education Connection","=""2420014""","Male","N/A","N/A","*","*","*","*",11,9.9,8,9.8
"Ellington School District","=""0480011""","Female",48,3.5,34,2.5,27,2.1,23,1.7,37,2.8
"Ellington School District","=""0480011""","Male",104,7.5,94,6.7,93,6.9,91,6.7,102,7.6
"Elm City College Preparatory School District","=""2890013""","Female",71,22.6,66,21.2,83,24.0,34,10.1,70,18.4
"Elm City College Preparatory School District","=""2890013""","Male",103,36.7,93,33.5,93,33.3,58,20.2,57,18.2
"Elm City Montessori School District","=""2910013""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Elm City Montessori School District","=""2910013""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","Female",156,5.6,151,5.7,105,4.1,118,4.6,110,4.3
"Enfield School District","=""0490011""","Male",392,13.3,378,13.4,349,12.8,304,11.4,313,11.5
"Essex School District","=""0500011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Essex School District","=""0500011""","Male","N/A","N/A",7,2.4,6,2.2,"*","*","N/A","N/A"
"Explorations District","=""2720013""","Female","*","*",9,22.0,8,21.1,"*","*",12,21.1
"Explorations District","=""2720013""","Male","*","*",10,24.4,15,34.9,"*","*",6,20.0
"Fairfield School District","=""0510011""","Female",50,1.0,35,0.7,43,0.9,36,0.7,40,0.8
"Fairfield School District","=""0510011""","Male",201,3.8,199,3.7,163,3.1,129,2.5,168,3.2
"Farmington School District","=""0520011""","Female",25,1.3,24,1.2,13,0.7,13,0.7,20,1.0
"Farmington School District","=""0520011""","Male",55,2.6,47,2.2,66,3.1,46,2.2,39,1.9
"Franklin School District","=""0530011""","Female","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Franklin School District","=""0530011""","Male","*","*","*","*",8,8.1,"*","*",9,9.6
"Glastonbury School District","=""0540011""","Female",26,0.8,31,0.9,29,0.9,29,0.9,22,0.7
"Glastonbury School District","=""0540011""","Male",107,3.2,83,2.5,99,3.1,71,2.3,46,1.5
"Granby School District","=""0560011""","Female",10,0.9,6,0.6,9,0.9,9,0.9,10,1.0
"Granby School District","=""0560011""","Male",39,3.5,34,3.1,39,3.7,44,4.3,54,5.4
"Great Oaks Charter School District","=""2940013""","Female","N/A","N/A","N/A","N/A","N/A","N/A",24,36.9,28,26.4
"Great Oaks Charter School District","=""2940013""","Male","N/A","N/A","N/A","N/A","N/A","N/A",31,54.4,45,40.2
"Greenwich School District","=""0570011""","Female",58,1.4,46,1.1,39,0.9,40,0.9,30,0.7
"Greenwich School District","=""0570011""","Male",143,3.1,119,2.6,72,1.6,81,1.8,68,1.5
"Griswold School District","=""0580011""","Female",79,8.1,49,5.0,57,5.9,37,3.9,31,3.3
"Griswold School District","=""0580011""","Male",165,15.8,128,12.5,108,10.4,105,10.7,86,8.9
"Groton School District","=""0590011""","Female",121,5.1,97,4.3,75,3.3,114,5.2,83,3.8
"Groton School District","=""0590011""","Male",298,11.6,270,11.2,242,10.0,268,11.3,254,10.8
"Guilford School District","=""0600011""","Female",23,1.3,14,0.8,12,0.7,23,1.4,12,0.7
"Guilford School District","=""0600011""","Male",86,4.5,81,4.4,71,3.9,54,3.0,67,3.7
"Hamden School District","=""0620011""","Female",208,7.3,216,7.6,158,5.7,130,4.8,132,4.9
"Hamden School District","=""0620011""","Male",449,14.3,414,13.4,413,13.3,332,11.0,325,10.8
"Hampton School District","=""0630011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hampton School District","=""0630011""","Male","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Female",1357,13.2,1359,12.9,1342,12.8,1181,11.3,1115,10.8
"Hartford School District","=""0640011""","Male",2440,21.8,2422,21.2,2443,21.5,2360,20.7,1967,17.5
"Hartland School District","=""0650011""","Female","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Hartland School District","=""0650011""","Male","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Hebron School District","=""0670011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hebron School District","=""0670011""","Male","*","*","*","*","*","*","*","*",9,2.3
"Highville Charter School District","=""2860013""","Female","*","*","*","*",12,6.7,10,5.0,33,13.9
"Highville Charter School District","=""2860013""","Male","*","*","*","*",13,7.5,16,8.5,62,29.8
"Integrated Day Charter School District","=""2640013""","Female","*","*","*","*",7,4.3,"N/A","N/A","*","*"
"Integrated Day Charter School District","=""2640013""","Male","*","*","*","*",13,8.0,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Female",20,19.8,16,15.1,16,12.3,21,16.3,7,5.4
"Interdistrict School for Arts and Comm District","=""2650013""","Male",35,42.2,16,20.0,18,17.6,30,23.4,26,19.4
"Jumoke Academy District","=""2610013""","Female",8,2.9,12,3.7,19,5.0,27,6.9,17,4.4
"Jumoke Academy District","=""2610013""","Male",11,5.3,30,11.6,45,14.4,60,18.0,61,18.0
"Kent School District","=""0680011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kent School District","=""0680011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Killingly School District","=""0690011""","Female",64,4.9,83,6.2,78,5.9,59,4.6,46,3.6
"Killingly School District","=""0690011""","Male",132,9.5,208,14.8,171,12.9,165,12.4,129,9.7
"Learn","=""2450014""","Female",34,4.6,54,6.3,40,3.8,36,3.2,58,4.8
"Learn","=""2450014""","Male",51,6.8,61,7.2,67,6.6,62,5.6,84,7.4
"Lebanon School District","=""0710011""","Female",20,3.0,10,1.6,"*","*",8,1.4,8,1.5
"Lebanon School District","=""0710011""","Male",48,7.5,38,6.1,"*","*",27,4.9,17,3.1
"Ledyard School District","=""0720011""","Female",38,2.9,25,2.0,21,1.6,32,2.6,22,1.8
"Ledyard School District","=""0720011""","Male",91,6.8,85,6.3,94,7.2,109,8.5,92,7.4
"Lisbon School District","=""0730011""","Female","*","*","*","*","*","*","*","*","*","*"
"Lisbon School District","=""0730011""","Male","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Female",19,3.4,13,2.5,7,1.4,8,1.7,"*","*"
"Litchfield School District","=""0740011""","Male",47,8.3,38,7.1,37,7.2,40,7.6,"*","*"
"Madison School District","=""0760011""","Female",12,0.7,28,1.7,12,0.8,16,1.0,16,1.1
"Madison School District","=""0760011""","Male",66,3.7,58,3.3,31,1.8,38,2.3,38,2.4
"Manchester School District","=""0770011""","Female",198,6.5,197,6.6,219,7.2,170,5.5,171,5.5
"Manchester School District","=""0770011""","Male",467,13.9,432,13.1,410,12.4,368,11.3,394,12.1
"Mansfield School District","=""0780011""","Female","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Male","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","Female","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"Marlborough School District","=""0790011""","Male","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Female",486,12.2,374,9.6,303,7.7,280,7.2,209,5.4
"Meriden School District","=""0800011""","Male",880,20.2,734,16.9,573,13.4,522,12.3,407,9.8
"Middletown School District","=""0830011""","Female",142,5.8,130,5.5,105,4.4,115,4.9,124,5.4
"Middletown School District","=""0830011""","Male",249,9.5,282,11.0,230,9.2,268,10.8,259,10.5
"Milford School District","=""0840011""","Female",105,3.2,92,2.9,86,2.8,95,3.2,110,3.8
"Milford School District","=""0840011""","Male",292,8.2,285,8.2,246,7.2,243,7.3,294,9.1
"Monroe School District","=""0850011""","Female","*","*",9,0.5,7,0.4,10,0.6,9,0.6
"Monroe School District","=""0850011""","Male","*","*",46,2.6,41,2.3,36,2.1,54,3.3
"Montville School District","=""0860011""","Female",92,7.4,49,4.1,25,2.1,33,2.8,31,2.8
"Montville School District","=""0860011""","Male",184,13.8,92,7.3,90,7.2,69,5.7,76,6.5
"Naugatuck School District","=""0880011""","Female",130,6.0,95,4.5,93,4.6,88,4.3,104,5.2
"Naugatuck School District","=""0880011""","Male",354,14.7,280,11.8,283,12.1,261,11.3,232,10.0
"New Beginnings Inc., Family Academy District","=""2800013""","Female",22,11.6,34,17.3,33,16.6,18,8.0,31,13.0
"New Beginnings Inc., Family Academy District","=""2800013""","Male",29,18.4,55,28.1,54,27.7,38,16.5,42,17.4
"New Britain School District","=""0890011""","Female",662,13.6,710,14.6,692,14.5,520,10.9,493,10.3
"New Britain School District","=""0890011""","Male",1213,22.1,1226,22.6,1317,24.2,1003,18.3,901,16.5
"New Canaan School District","=""0900011""","Female","*","*","N/A","N/A",7,0.3,7,0.3,12,0.6
"New Canaan School District","=""0900011""","Male","*","*","N/A","N/A",20,0.9,13,0.6,15,0.7
"New Fairfield School District","=""0910011""","Female",22,1.6,39,3.0,36,2.8,20,1.6,21,1.8
"New Fairfield School District","=""0910011""","Male",100,6.6,74,5.0,53,3.7,66,4.7,45,3.4
"New Hartford School District","=""0920011""","Female","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"New Hartford School District","=""0920011""","Male","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Female",797,7.8,567,5.4,533,5.0,599,5.6,625,5.7
"New Haven School District","=""0930011""","Male",1426,13.6,1104,10.3,1082,9.9,1322,12.0,1167,10.5
"New London School District","=""0950011""","Female",191,13.8,196,13.7,187,13.0,191,12.5,176,10.8
"New London School District","=""0950011""","Male",372,22.8,450,26.2,430,25.0,447,25.9,352,19.4
"New Milford School District","=""0960011""","Female",64,2.8,80,3.6,61,2.8,50,2.4,53,2.6
"New Milford School District","=""0960011""","Male",164,6.7,193,8.0,188,8.0,182,7.9,166,7.3
"Newington School District","=""0940011""","Female",70,3.2,79,3.7,78,3.7,52,2.5,43,2.1
"Newington School District","=""0940011""","Male",216,9.5,178,8.0,197,9.1,156,7.3,150,7.3
"Newtown School District","=""0970011""","Female",15,0.6,25,1.0,21,0.9,20,0.9,13,0.6
"Newtown School District","=""0970011""","Male",99,3.6,93,3.5,81,3.2,99,4.0,105,4.4
"Norfolk School District","=""0980011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Norfolk School District","=""0980011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"North Branford School District","=""0990011""","Female",44,4.0,36,3.4,29,2.9,37,3.8,25,2.7
"North Branford School District","=""0990011""","Male",104,9.6,118,11.2,85,8.2,94,9.3,76,8.0
"North Canaan School District","=""1000011""","Female","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"North Canaan School District","=""1000011""","Male","*","*","*","*",8,5.5,"*","*","N/A","N/A"
"North Haven School District","=""1010011""","Female",25,1.4,46,2.7,32,1.9,25,1.5,24,1.5
"North Haven School District","=""1010011""","Male",74,3.9,97,5.3,70,4.0,86,5.1,72,4.4
"North Stonington School District","=""1020011""","Female",9,2.4,11,2.9,8,2.2,8,2.2,7,2.1
"North Stonington School District","=""1020011""","Male",46,11.3,19,4.7,24,6.0,25,6.3,24,6.0
"Norwalk School District","=""1030011""","Female",334,6.1,314,5.8,218,4.0,207,3.7,221,3.9
"Norwalk School District","=""1030011""","Male",669,11.6,607,10.5,486,8.3,410,6.9,438,7.3
"Norwich Free Academy District","=""9010022""","Female",156,12.5,169,14.1,128,10.4,99,8.4,97,8.2
"Norwich Free Academy District","=""9010022""","Male",183,17.3,222,20.9,187,17.1,181,16.3,171,15.6
"Norwich School District","=""1040011""","Female",145,7.6,109,5.8,77,4.2,69,3.8,67,3.8
"Norwich School District","=""1040011""","Male",269,13.0,245,12.2,209,10.6,185,9.3,215,10.9
"Odyssey Community School District","=""2630013""","Female","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","Male","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Female",11,1.4,15,1.9,9,1.2,14,1.9,9,1.3
"Old Saybrook School District","=""1060011""","Male",33,4.3,49,6.7,25,3.5,33,4.7,26,3.8
"Orange School District","=""1070011""","Female","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","Male","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Female",14,1.3,13,1.2,10,1.0,7,0.7,"*","*"
"Oxford School District","=""1080011""","Male",44,4.1,34,3.2,33,3.2,30,3.0,"*","*"
"Park City Prep Charter School District","=""2830013""","Female",23,19.5,"*","*",12,9.0,16,9.2,14,7.9
"Park City Prep Charter School District","=""2830013""","Male",35,26.7,"*","*",26,21.0,41,22.9,48,27.3
"Path Academy District","=""2930013""","Female","N/A","N/A","N/A","N/A","N/A","N/A",21,37.5,6,9.8
"Path Academy District","=""2930013""","Male","N/A","N/A","N/A","N/A","N/A","N/A",32,44.4,14,19.2
"Plainfield School District","=""1090011""","Female",78,6.2,69,5.5,33,2.7,44,3.8,53,4.6
"Plainfield School District","=""1090011""","Male",196,14.9,175,14.2,141,11.4,153,12.6,162,13.5
"Plainville School District","=""1100011""","Female",41,3.5,33,2.9,20,1.7,30,2.6,44,3.8
"Plainville School District","=""1100011""","Male",80,6.3,78,6.3,69,5.7,84,6.6,87,6.9
"Plymouth School District","=""1110011""","Female",19,2.4,16,2.1,14,1.9,14,1.9,19,2.6
"Plymouth School District","=""1110011""","Male",57,6.4,62,7.0,45,5.3,50,6.0,63,7.8
"Pomfret School District","=""1120011""","Female","*","*","*","*","N/A","N/A","*","*","*","*"
"Pomfret School District","=""1120011""","Male","*","*","*","*",6,2.7,"*","*","*","*"
"Portland School District","=""1130011""","Female",15,2.2,10,1.4,14,2.0,14,2.1,11,1.7
"Portland School District","=""1130011""","Male",37,5.3,47,6.8,38,5.5,47,6.9,39,5.6
"Preston School District","=""1140011""","Female","N/A","N/A","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","Male",9,4.5,"*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Female",23,3.9,29,4.7,15,2.5,15,2.5,19,3.1
"Putnam School District","=""1160011""","Male",99,14.1,86,12.7,74,11.0,59,9.2,59,9.7
"Redding School District","=""1170011""","Female","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","Male","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Female",9,3.9,11,5.0,7,3.1,17,8.2,17,7.5
"Regional School District 01","=""2010012""","Male",28,12.2,37,18.5,28,14.0,43,21.7,32,14.3
"Regional School District 04","=""2040012""","Female",19,3.7,16,3.1,11,2.2,"*","*","*","*"
"Regional School District 04","=""2040012""","Male",40,8.6,37,7.9,29,6.1,"*","*","*","*"
"Regional School District 05","=""2050012""","Female",26,2.2,13,1.1,13,1.1,16,1.4,25,2.2
"Regional School District 05","=""2050012""","Male",108,8.5,60,4.9,67,5.5,37,3.1,53,4.6
"Regional School District 06","=""2060012""","Female",26,4.9,16,3.1,7,1.4,"*","*",9,1.8
"Regional School District 06","=""2060012""","Male",51,9.8,45,8.9,57,11.6,"*","*",51,10.7
"Regional School District 07","=""2070012""","Female",22,3.7,6,1.0,11,1.9,18,3.4,6,1.1
"Regional School District 07","=""2070012""","Male",48,8.5,44,8.0,64,11.6,52,9.8,47,8.2
"Regional School District 08","=""2080012""","Female",29,3.5,22,2.7,27,3.3,22,2.8,16,2.0
"Regional School District 08","=""2080012""","Male",118,12.6,106,11.2,86,9.4,68,7.9,56,6.9
"Regional School District 09","=""2090012""","Female","*","*","*","*",6,1.1,"*","*","*","*"
"Regional School District 09","=""2090012""","Male","*","*","*","*",9,1.7,"*","*","*","*"
"Regional School District 10","=""2100012""","Female",18,1.4,15,1.2,11,0.9,10,0.8,9,0.8
"Regional School District 10","=""2100012""","Male",92,6.5,84,6.0,77,5.7,66,5.0,42,3.3
"Regional School District 11","=""2110012""","Female",10,7.4,7,5.1,7,5.0,8,5.9,"*","*"
"Regional School District 11","=""2110012""","Male",34,19.4,31,19.7,28,17.8,23,15.8,"*","*"
"Regional School District 12","=""2120012""","Female",6,1.5,9,2.2,9,2.2,9,2.4,7,1.9
"Regional School District 12","=""2120012""","Male",43,9.0,23,5.2,30,7.4,29,7.5,30,8.3
"Regional School District 13","=""2130012""","Female","*","*",7,0.7,"*","*",6,0.7,"*","*"
"Regional School District 13","=""2130012""","Male","*","*",32,3.1,"*","*",40,4.3,"*","*"
"Regional School District 14","=""2140012""","Female",20,1.9,12,1.2,14,1.4,7,0.7,14,1.5
